CaseId,SystemName,SystemSynonyms,Title,Description,Domains,RelationshipType,SourceName,SourceType,TargetName,TargetType,Extension,AllActors,AllPrimaryActors,AllSecondaryActors,AllUseCases,CreatedAt
1,Online Shopping System,Shopping System | Online Store,Online Shopping System,"The Online Shopping System facilitates product management, user registration, and the purchase of products. Administrators manage the product catalog, while users can browse, add items to a cart, purchase products, report issues, and access their accounts. The Backend Database System supports product information and user registration.",Customer Support | Database Management | E-commerce | Product Management | User Account Management,association,Backend Database System,actor,Register User,usecase,,Administrator | Backend Database System | User,Administrator | User,Backend Database System,Access Account | Add Product | Add To Cart | Buy Product | Delete Product | Recommend New Product | Register User | Report Technical Issue | Update Product Detail | View Product,2026-02-26 18:28:04
1,Online Shopping System,Shopping System | Online Store,Online Shopping System,"The Online Shopping System facilitates product management, user registration, and the purchase of products. Administrators manage the product catalog, while users can browse, add items to a cart, purchase products, report issues, and access their accounts. The Backend Database System supports product information and user registration.",Customer Support | Database Management | E-commerce | Product Management | User Account Management,association,User,actor,Buy Product,usecase,,Administrator | Backend Database System | User,Administrator | User,Backend Database System,Access Account | Add Product | Add To Cart | Buy Product | Delete Product | Recommend New Product | Register User | Report Technical Issue | Update Product Detail | View Product,2026-02-26 18:28:04
1,Online Shopping System,Shopping System | Online Store,Online Shopping System,"The Online Shopping System facilitates product management, user registration, and the purchase of products. Administrators manage the product catalog, while users can browse, add items to a cart, purchase products, report issues, and access their accounts. The Backend Database System supports product information and user registration.",Customer Support | Database Management | E-commerce | Product Management | User Account Management,association,User,actor,Add To Cart,usecase,,Administrator | Backend Database System | User,Administrator | User,Backend Database System,Access Account | Add Product | Add To Cart | Buy Product | Delete Product | Recommend New Product | Register User | Report Technical Issue | Update Product Detail | View Product,2026-02-26 18:28:04
1,Online Shopping System,Shopping System | Online Store,Online Shopping System,"The Online Shopping System facilitates product management, user registration, and the purchase of products. Administrators manage the product catalog, while users can browse, add items to a cart, purchase products, report issues, and access their accounts. The Backend Database System supports product information and user registration.",Customer Support | Database Management | E-commerce | Product Management | User Account Management,association,User,actor,Register User,usecase,,Administrator | Backend Database System | User,Administrator | User,Backend Database System,Access Account | Add Product | Add To Cart | Buy Product | Delete Product | Recommend New Product | Register User | Report Technical Issue | Update Product Detail | View Product,2026-02-26 18:28:04
1,Online Shopping System,Shopping System | Online Store,Online Shopping System,"The Online Shopping System facilitates product management, user registration, and the purchase of products. Administrators manage the product catalog, while users can browse, add items to a cart, purchase products, report issues, and access their accounts. The Backend Database System supports product information and user registration.",Customer Support | Database Management | E-commerce | Product Management | User Account Management,association,Backend Database System,actor,Update Product Detail,usecase,,Administrator | Backend Database System | User,Administrator | User,Backend Database System,Access Account | Add Product | Add To Cart | Buy Product | Delete Product | Recommend New Product | Register User | Report Technical Issue | Update Product Detail | View Product,2026-02-26 18:28:04
1,Online Shopping System,Shopping System | Online Store,Online Shopping System,"The Online Shopping System facilitates product management, user registration, and the purchase of products. Administrators manage the product catalog, while users can browse, add items to a cart, purchase products, report issues, and access their accounts. The Backend Database System supports product information and user registration.",Customer Support | Database Management | E-commerce | Product Management | User Account Management,association,Backend Database System,actor,Recommend New Product,usecase,,Administrator | Backend Database System | User,Administrator | User,Backend Database System,Access Account | Add Product | Add To Cart | Buy Product | Delete Product | Recommend New Product | Register User | Report Technical Issue | Update Product Detail | View Product,2026-02-26 18:28:04
1,Online Shopping System,Shopping System | Online Store,Online Shopping System,"The Online Shopping System facilitates product management, user registration, and the purchase of products. Administrators manage the product catalog, while users can browse, add items to a cart, purchase products, report issues, and access their accounts. The Backend Database System supports product information and user registration.",Customer Support | Database Management | E-commerce | Product Management | User Account Management,association,Administrator,actor,Update Product Detail,usecase,,Administrator | Backend Database System | User,Administrator | User,Backend Database System,Access Account | Add Product | Add To Cart | Buy Product | Delete Product | Recommend New Product | Register User | Report Technical Issue | Update Product Detail | View Product,2026-02-26 18:28:04
1,Online Shopping System,Shopping System | Online Store,Online Shopping System,"The Online Shopping System facilitates product management, user registration, and the purchase of products. Administrators manage the product catalog, while users can browse, add items to a cart, purchase products, report issues, and access their accounts. The Backend Database System supports product information and user registration.",Customer Support | Database Management | E-commerce | Product Management | User Account Management,association,Administrator,actor,Delete Product,usecase,,Administrator | Backend Database System | User,Administrator | User,Backend Database System,Access Account | Add Product | Add To Cart | Buy Product | Delete Product | Recommend New Product | Register User | Report Technical Issue | Update Product Detail | View Product,2026-02-26 18:28:04
1,Online Shopping System,Shopping System | Online Store,Online Shopping System,"The Online Shopping System facilitates product management, user registration, and the purchase of products. Administrators manage the product catalog, while users can browse, add items to a cart, purchase products, report issues, and access their accounts. The Backend Database System supports product information and user registration.",Customer Support | Database Management | E-commerce | Product Management | User Account Management,association,Administrator,actor,Add Product,usecase,,Administrator | Backend Database System | User,Administrator | User,Backend Database System,Access Account | Add Product | Add To Cart | Buy Product | Delete Product | Recommend New Product | Register User | Report Technical Issue | Update Product Detail | View Product,2026-02-26 18:28:04
1,Online Shopping System,Shopping System | Online Store,Online Shopping System,"The Online Shopping System facilitates product management, user registration, and the purchase of products. Administrators manage the product catalog, while users can browse, add items to a cart, purchase products, report issues, and access their accounts. The Backend Database System supports product information and user registration.",Customer Support | Database Management | E-commerce | Product Management | User Account Management,association,User,actor,Report Technical Issue,usecase,,Administrator | Backend Database System | User,Administrator | User,Backend Database System,Access Account | Add Product | Add To Cart | Buy Product | Delete Product | Recommend New Product | Register User | Report Technical Issue | Update Product Detail | View Product,2026-02-26 18:28:04
1,Online Shopping System,Shopping System | Online Store,Online Shopping System,"The Online Shopping System facilitates product management, user registration, and the purchase of products. Administrators manage the product catalog, while users can browse, add items to a cart, purchase products, report issues, and access their accounts. The Backend Database System supports product information and user registration.",Customer Support | Database Management | E-commerce | Product Management | User Account Management,association,User,actor,Access Account,usecase,,Administrator | Backend Database System | User,Administrator | User,Backend Database System,Access Account | Add Product | Add To Cart | Buy Product | Delete Product | Recommend New Product | Register User | Report Technical Issue | Update Product Detail | View Product,2026-02-26 18:28:04
1,Online Shopping System,Shopping System | Online Store,Online Shopping System,"The Online Shopping System facilitates product management, user registration, and the purchase of products. Administrators manage the product catalog, while users can browse, add items to a cart, purchase products, report issues, and access their accounts. The Backend Database System supports product information and user registration.",Customer Support | Database Management | E-commerce | Product Management | User Account Management,extend,View Product,usecase,Add To Cart,usecase,When Product Needs to be Viewed,Administrator | Backend Database System | User,Administrator | User,Backend Database System,Access Account | Add Product | Add To Cart | Buy Product | Delete Product | Recommend New Product | Register User | Report Technical Issue | Update Product Detail | View Product,2026-02-26 18:28:04
2,Administration Application,Admin Application | Administration App,Administration Application,"The Administration Application provides functionalities for managing system operations, user access, and logging. The Website Administrator and Helpdesk interact with the system to perform tasks such as managing users, sessions, logs, and access control policies. System backups are performed as part of access control policy management. The Helpdesk primarily focuses on log and session management, while the Website Administrator handles a broader range of administrative tasks including user management.",Access Control Management | Log Management | System Administration | System Backup and Recovery | User Management,association,Helpdesk,actor,Manage Logs,usecase,,Helpdesk | Website Administrator,Website Administrator,Helpdesk,Manage Access Control Policy | Manage Logs | Manage Session | Manage User | Perform System Backup,2026-02-26 18:28:23
2,Administration Application,Admin Application | Administration App,Administration Application,"The Administration Application provides functionalities for managing system operations, user access, and logging. The Website Administrator and Helpdesk interact with the system to perform tasks such as managing users, sessions, logs, and access control policies. System backups are performed as part of access control policy management. The Helpdesk primarily focuses on log and session management, while the Website Administrator handles a broader range of administrative tasks including user management.",Access Control Management | Log Management | System Administration | System Backup and Recovery | User Management,association,Helpdesk,actor,Manage Session,usecase,,Helpdesk | Website Administrator,Website Administrator,Helpdesk,Manage Access Control Policy | Manage Logs | Manage Session | Manage User | Perform System Backup,2026-02-26 18:28:23
2,Administration Application,Admin Application | Administration App,Administration Application,"The Administration Application provides functionalities for managing system operations, user access, and logging. The Website Administrator and Helpdesk interact with the system to perform tasks such as managing users, sessions, logs, and access control policies. System backups are performed as part of access control policy management. The Helpdesk primarily focuses on log and session management, while the Website Administrator handles a broader range of administrative tasks including user management.",Access Control Management | Log Management | System Administration | System Backup and Recovery | User Management,association,Website Administrator,actor,Manage Logs,usecase,,Helpdesk | Website Administrator,Website Administrator,Helpdesk,Manage Access Control Policy | Manage Logs | Manage Session | Manage User | Perform System Backup,2026-02-26 18:28:23
2,Administration Application,Admin Application | Administration App,Administration Application,"The Administration Application provides functionalities for managing system operations, user access, and logging. The Website Administrator and Helpdesk interact with the system to perform tasks such as managing users, sessions, logs, and access control policies. System backups are performed as part of access control policy management. The Helpdesk primarily focuses on log and session management, while the Website Administrator handles a broader range of administrative tasks including user management.",Access Control Management | Log Management | System Administration | System Backup and Recovery | User Management,association,Website Administrator,actor,Manage Session,usecase,,Helpdesk | Website Administrator,Website Administrator,Helpdesk,Manage Access Control Policy | Manage Logs | Manage Session | Manage User | Perform System Backup,2026-02-26 18:28:23
2,Administration Application,Admin Application | Administration App,Administration Application,"The Administration Application provides functionalities for managing system operations, user access, and logging. The Website Administrator and Helpdesk interact with the system to perform tasks such as managing users, sessions, logs, and access control policies. System backups are performed as part of access control policy management. The Helpdesk primarily focuses on log and session management, while the Website Administrator handles a broader range of administrative tasks including user management.",Access Control Management | Log Management | System Administration | System Backup and Recovery | User Management,association,Website Administrator,actor,Manage User,usecase,,Helpdesk | Website Administrator,Website Administrator,Helpdesk,Manage Access Control Policy | Manage Logs | Manage Session | Manage User | Perform System Backup,2026-02-26 18:28:23
2,Administration Application,Admin Application | Administration App,Administration Application,"The Administration Application provides functionalities for managing system operations, user access, and logging. The Website Administrator and Helpdesk interact with the system to perform tasks such as managing users, sessions, logs, and access control policies. System backups are performed as part of access control policy management. The Helpdesk primarily focuses on log and session management, while the Website Administrator handles a broader range of administrative tasks including user management.",Access Control Management | Log Management | System Administration | System Backup and Recovery | User Management,include,Manage Access Control Policy,usecase,Perform System Backup,usecase,,Helpdesk | Website Administrator,Website Administrator,Helpdesk,Manage Access Control Policy | Manage Logs | Manage Session | Manage User | Perform System Backup,2026-02-26 18:28:23
2,Administration Application,Admin Application | Administration App,Administration Application,"The Administration Application provides functionalities for managing system operations, user access, and logging. The Website Administrator and Helpdesk interact with the system to perform tasks such as managing users, sessions, logs, and access control policies. System backups are performed as part of access control policy management. The Helpdesk primarily focuses on log and session management, while the Website Administrator handles a broader range of administrative tasks including user management.",Access Control Management | Log Management | System Administration | System Backup and Recovery | User Management,include,Manage Logs,usecase,Manage Access Control Policy,usecase,,Helpdesk | Website Administrator,Website Administrator,Helpdesk,Manage Access Control Policy | Manage Logs | Manage Session | Manage User | Perform System Backup,2026-02-26 18:28:23
3,Design Support System,Support System | Design System,Design Support System,"The Design Support System facilitates the design and finalization of products, primarily furniture, involving clients, engineers, and administration. Clients initiate requirements and finalize products, while engineers focus on structural and heating design approvals. Administration verifies client requirements. The system supports issue reporting that can extend the product finalization process.","Furniture Design | Heating, Ventilation, and Air Conditioning (HVAC) | Product Lifecycle Management | Requirements Management | Structural Engineering",association,Client,actor,Finalize Product,usecase,,Administration | Client | Engineer,Administration | Client | Engineer,,Approve Heating Design | Approve Structural Design | Finalize Product | Report Issue | Validate Furniture Design | Verify Client Requirement,2026-02-26 18:28:43
3,Design Support System,Support System | Design System,Design Support System,"The Design Support System facilitates the design and finalization of products, primarily furniture, involving clients, engineers, and administration. Clients initiate requirements and finalize products, while engineers focus on structural and heating design approvals. Administration verifies client requirements. The system supports issue reporting that can extend the product finalization process.","Furniture Design | Heating, Ventilation, and Air Conditioning (HVAC) | Product Lifecycle Management | Requirements Management | Structural Engineering",association,Engineer,actor,Finalize Product,usecase,,Administration | Client | Engineer,Administration | Client | Engineer,,Approve Heating Design | Approve Structural Design | Finalize Product | Report Issue | Validate Furniture Design | Verify Client Requirement,2026-02-26 18:28:43
3,Design Support System,Support System | Design System,Design Support System,"The Design Support System facilitates the design and finalization of products, primarily furniture, involving clients, engineers, and administration. Clients initiate requirements and finalize products, while engineers focus on structural and heating design approvals. Administration verifies client requirements. The system supports issue reporting that can extend the product finalization process.","Furniture Design | Heating, Ventilation, and Air Conditioning (HVAC) | Product Lifecycle Management | Requirements Management | Structural Engineering",association,Client,actor,Verify Client Requirement,usecase,,Administration | Client | Engineer,Administration | Client | Engineer,,Approve Heating Design | Approve Structural Design | Finalize Product | Report Issue | Validate Furniture Design | Verify Client Requirement,2026-02-26 18:28:43
3,Design Support System,Support System | Design System,Design Support System,"The Design Support System facilitates the design and finalization of products, primarily furniture, involving clients, engineers, and administration. Clients initiate requirements and finalize products, while engineers focus on structural and heating design approvals. Administration verifies client requirements. The system supports issue reporting that can extend the product finalization process.","Furniture Design | Heating, Ventilation, and Air Conditioning (HVAC) | Product Lifecycle Management | Requirements Management | Structural Engineering",association,Administration,actor,Verify Client Requirement,usecase,,Administration | Client | Engineer,Administration | Client | Engineer,,Approve Heating Design | Approve Structural Design | Finalize Product | Report Issue | Validate Furniture Design | Verify Client Requirement,2026-02-26 18:28:43
3,Design Support System,Support System | Design System,Design Support System,"The Design Support System facilitates the design and finalization of products, primarily furniture, involving clients, engineers, and administration. Clients initiate requirements and finalize products, while engineers focus on structural and heating design approvals. Administration verifies client requirements. The system supports issue reporting that can extend the product finalization process.","Furniture Design | Heating, Ventilation, and Air Conditioning (HVAC) | Product Lifecycle Management | Requirements Management | Structural Engineering",association,Engineer,actor,Approve Structural Design,usecase,,Administration | Client | Engineer,Administration | Client | Engineer,,Approve Heating Design | Approve Structural Design | Finalize Product | Report Issue | Validate Furniture Design | Verify Client Requirement,2026-02-26 18:28:43
3,Design Support System,Support System | Design System,Design Support System,"The Design Support System facilitates the design and finalization of products, primarily furniture, involving clients, engineers, and administration. Clients initiate requirements and finalize products, while engineers focus on structural and heating design approvals. Administration verifies client requirements. The system supports issue reporting that can extend the product finalization process.","Furniture Design | Heating, Ventilation, and Air Conditioning (HVAC) | Product Lifecycle Management | Requirements Management | Structural Engineering",extend,Report Issue,usecase,Finalize Product,usecase,When an Issue is Found,Administration | Client | Engineer,Administration | Client | Engineer,,Approve Heating Design | Approve Structural Design | Finalize Product | Report Issue | Validate Furniture Design | Verify Client Requirement,2026-02-26 18:28:43
3,Design Support System,Support System | Design System,Design Support System,"The Design Support System facilitates the design and finalization of products, primarily furniture, involving clients, engineers, and administration. Clients initiate requirements and finalize products, while engineers focus on structural and heating design approvals. Administration verifies client requirements. The system supports issue reporting that can extend the product finalization process.","Furniture Design | Heating, Ventilation, and Air Conditioning (HVAC) | Product Lifecycle Management | Requirements Management | Structural Engineering",include,Verify Client Requirement,usecase,Finalize Product,usecase,,Administration | Client | Engineer,Administration | Client | Engineer,,Approve Heating Design | Approve Structural Design | Finalize Product | Report Issue | Validate Furniture Design | Verify Client Requirement,2026-02-26 18:28:43
3,Design Support System,Support System | Design System,Design Support System,"The Design Support System facilitates the design and finalization of products, primarily furniture, involving clients, engineers, and administration. Clients initiate requirements and finalize products, while engineers focus on structural and heating design approvals. Administration verifies client requirements. The system supports issue reporting that can extend the product finalization process.","Furniture Design | Heating, Ventilation, and Air Conditioning (HVAC) | Product Lifecycle Management | Requirements Management | Structural Engineering",include,Validate Furniture Design,usecase,Verify Client Requirement,usecase,,Administration | Client | Engineer,Administration | Client | Engineer,,Approve Heating Design | Approve Structural Design | Finalize Product | Report Issue | Validate Furniture Design | Verify Client Requirement,2026-02-26 18:28:43
3,Design Support System,Support System | Design System,Design Support System,"The Design Support System facilitates the design and finalization of products, primarily furniture, involving clients, engineers, and administration. Clients initiate requirements and finalize products, while engineers focus on structural and heating design approvals. Administration verifies client requirements. The system supports issue reporting that can extend the product finalization process.","Furniture Design | Heating, Ventilation, and Air Conditioning (HVAC) | Product Lifecycle Management | Requirements Management | Structural Engineering",include,Approve Structural Design,usecase,Validate Furniture Design,usecase,,Administration | Client | Engineer,Administration | Client | Engineer,,Approve Heating Design | Approve Structural Design | Finalize Product | Report Issue | Validate Furniture Design | Verify Client Requirement,2026-02-26 18:28:43
3,Design Support System,Support System | Design System,Design Support System,"The Design Support System facilitates the design and finalization of products, primarily furniture, involving clients, engineers, and administration. Clients initiate requirements and finalize products, while engineers focus on structural and heating design approvals. Administration verifies client requirements. The system supports issue reporting that can extend the product finalization process.","Furniture Design | Heating, Ventilation, and Air Conditioning (HVAC) | Product Lifecycle Management | Requirements Management | Structural Engineering",include,Approve Structural Design,usecase,Approve Heating Design,usecase,,Administration | Client | Engineer,Administration | Client | Engineer,,Approve Heating Design | Approve Structural Design | Finalize Product | Report Issue | Validate Furniture Design | Verify Client Requirement,2026-02-26 18:28:43
4,Vehicle ,Automobile | Transport,Vehicle ,"The Vehicle system manages core vehicle functions and passenger interactions. The Driver operates the vehicle, while the Vehicle Occupant interacts with accessories and enters/exits the vehicle. The system provides functionalities like driving, braking, controlling entertainment and climate, and managing vehicle access. The system interacts with the Driver to perform driving actions, and with the Vehicle Occupant to control accessories and manage entry/exit.",Automotive Engineering | Passenger Comfort Systems | Vehicle Access Control | Vehicle Control Systems | Vehicle Safety Systems,association,Vehicle Occupant,actor,Control Vehicle Accessory,usecase,,Driver | Vehicle Occupant,Driver | Vehicle Occupant,,Control Climate System | Control Entertainment System | Control Vehicle Accessory | Drive Vehicle | Enter Vehicle | Exit Vehicle | Open Door | Perform Anti Lock Braking,2026-02-26 18:29:05
4,Vehicle ,Automobile | Transport,Vehicle ,"The Vehicle system manages core vehicle functions and passenger interactions. The Driver operates the vehicle, while the Vehicle Occupant interacts with accessories and enters/exits the vehicle. The system provides functionalities like driving, braking, controlling entertainment and climate, and managing vehicle access. The system interacts with the Driver to perform driving actions, and with the Vehicle Occupant to control accessories and manage entry/exit.",Automotive Engineering | Passenger Comfort Systems | Vehicle Access Control | Vehicle Control Systems | Vehicle Safety Systems,association,Vehicle Occupant,actor,Exit Vehicle,usecase,,Driver | Vehicle Occupant,Driver | Vehicle Occupant,,Control Climate System | Control Entertainment System | Control Vehicle Accessory | Drive Vehicle | Enter Vehicle | Exit Vehicle | Open Door | Perform Anti Lock Braking,2026-02-26 18:29:05
4,Vehicle ,Automobile | Transport,Vehicle ,"The Vehicle system manages core vehicle functions and passenger interactions. The Driver operates the vehicle, while the Vehicle Occupant interacts with accessories and enters/exits the vehicle. The system provides functionalities like driving, braking, controlling entertainment and climate, and managing vehicle access. The system interacts with the Driver to perform driving actions, and with the Vehicle Occupant to control accessories and manage entry/exit.",Automotive Engineering | Passenger Comfort Systems | Vehicle Access Control | Vehicle Control Systems | Vehicle Safety Systems,association,Vehicle Occupant,actor,Enter Vehicle,usecase,,Driver | Vehicle Occupant,Driver | Vehicle Occupant,,Control Climate System | Control Entertainment System | Control Vehicle Accessory | Drive Vehicle | Enter Vehicle | Exit Vehicle | Open Door | Perform Anti Lock Braking,2026-02-26 18:29:05
4,Vehicle ,Automobile | Transport,Vehicle ,"The Vehicle system manages core vehicle functions and passenger interactions. The Driver operates the vehicle, while the Vehicle Occupant interacts with accessories and enters/exits the vehicle. The system provides functionalities like driving, braking, controlling entertainment and climate, and managing vehicle access. The system interacts with the Driver to perform driving actions, and with the Vehicle Occupant to control accessories and manage entry/exit.",Automotive Engineering | Passenger Comfort Systems | Vehicle Access Control | Vehicle Control Systems | Vehicle Safety Systems,association,Driver,actor,Drive Vehicle,usecase,,Driver | Vehicle Occupant,Driver | Vehicle Occupant,,Control Climate System | Control Entertainment System | Control Vehicle Accessory | Drive Vehicle | Enter Vehicle | Exit Vehicle | Open Door | Perform Anti Lock Braking,2026-02-26 18:29:05
